"filename", "language", "Python", "Properties", "HTML", "Visual Basic", "JavaScript", "XSL", "C++", "C", "Markdown", "PostCSS", "reStructuredText", "JSON", "XML", "toml", "Ini", "Lua", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\HENRRY\Desktop\backend_proy de grado\api_con_jwt\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\backend_proy de grado\api_con_jwt\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\HENRRY\Desktop\backend_proy de grado\api_con_jwt\settings.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 45, 174
"c:\Users\HENRRY\Desktop\backend_proy de grado\api_con_jwt\settings_local.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\HENRRY\Desktop\backend_proy de grado\api_con_jwt\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 32
"c:\Users\HENRRY\Desktop\backend_proy de grado\api_con_jwt\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\apps.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 13
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\locustfile.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 25, 150
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0001_initial.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 49
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0002_pregunta_testvocacional_opcionrespuesta_and_more.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 58
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0003_alter_opcionrespuesta_texto.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0004_paralelo_estudiante_profesor_paralelo_profesor_and_more.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 68
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0005_remove_estudiante_usuario_remove_profesor_usuario_and_more.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0006_usuario_rol.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0007_remove_estudiante_apellido_remove_estudiante_nombre_and_more.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0008_remove_usuario_estudiante_remove_usuario_profesor_and_more.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 28
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0009_remove_usuario_estudiante_remove_usuario_profesor_and_more.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 33
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0010_remove_usuario_estudiante_remove_usuario_profesor_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 32
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0011_remove_testvocacional_fecha_creacion_and_more.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 26
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0012_remove_testvocacional_fecha_creacion_and_more.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 33
"c:\Users\HENRRY\Desktop\backend_proy de grado\back_colegio\migrations\0013_remove_testvocacional_fecha_creacion_and_more.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 35
